name,dl1.accesses,dl1.hits,dl1.inv_rate,dl1.invalidations,dl1.miss_rate,dl1.misses,dl1.repl_rate,dl1.replacements,dl1.wb_rate,dl1.writebacks,il1.accesses,il1.hits,il1.inv_rate,il1.invalidations,il1.miss_rate,il1.misses,il1.repl_rate,il1.replacements,il1.wb_rate,il1.writebacks
resultado_amp_16_128_1_f,168593037,149925697,0.0000,0,0.1107,18667340,0.1107,18667324,0.0369,6225205,413322591,402109761,0.0000,0,0.0271,11212830,0.0271,11212814,0.0000,0
resultado_amp_16_128_1_l,168593037,149925697,0.0000,0,0.1107,18667340,0.1107,18667324,0.0369,6225205,413322591,402109761,0.0000,0,0.0271,11212830,0.0271,11212814,0.0000,0
resultado_amp_16_128_1_r,168593037,149925697,0.0000,0,0.1107,18667340,0.1107,18667324,0.0369,6225205,413322591,402109761,0.0000,0,0.0271,11212830,0.0271,11212814,0.0000,0
resultado_amp_16_32_4_f,168593037,156391646,0.0000,0,0.0724,12201391,0.0724,12201327,0.0263,4434009,413322591,378747955,0.0000,0,0.0837,34574636,0.0837,34574572,0.0000,0
resultado_amp_16_32_4_l,168593037,157060554,0.0000,0,0.0684,11532483,0.0684,11532419,0.0241,4069538,413322591,378781189,0.0000,0,0.0836,34541402,0.0836,34541338,0.0000,0
resultado_amp_16_32_4_r,168593037,155558614,0.0000,0,0.0773,13034423,0.0773,13034359,0.0274,4621352,413322591,379255943,0.0000,0,0.0824,34066648,0.0824,34066584,0.0000,0
resultado_amp_16_64_2_f,168593037,158502038,0.0000,0,0.0599,10090999,0.0599,10090967,0.0218,3675782,413322591,395728549,0.0000,0,0.0426,17594042,0.0426,17594010,0.0000,0
resultado_amp_16_64_2_l,168593037,159379843,0.0000,0,0.0546,9213194,0.0546,9213162,0.0203,3414566,413322591,395726484,0.0000,0,0.0426,17596107,0.0426,17596075,0.0000,0
resultado_amp_16_64_2_r,168593037,158061549,0.0000,0,0.0625,10531488,0.0625,10531456,0.0227,3829399,413322591,395951485,0.0000,0,0.0420,17371106,0.0420,17371074,0.0000,0
resultado_amp_1_1024_2_f,168593037,127566942,0.0000,0,0.2433,41026095,0.2433,41026093,0.0795,13408203,413322591,409104165,0.0000,0,0.0102,4218426,0.0102,4218424,0.0000,0
resultado_amp_1_1024_2_l,168593037,127989855,0.0000,0,0.2408,40603182,0.2408,40603180,0.0769,12969049,413322591,409183615,0.0000,0,0.0100,4138976,0.0100,4138974,0.0000,0
resultado_amp_1_1024_2_r,168593037,129934186,0.0000,0,0.2293,38658851,0.2293,38658849,0.0722,12177342,413322591,408921706,0.0000,0,0.0106,4400885,0.0106,4400883,0.0000,0
resultado_amp_1_128_16_f,168593037,162689463,0.0000,0,0.0350,5903574,0.0350,5903558,0.0147,2480819,413322591,404244027,0.0000,0,0.0220,9078564,0.0220,9078548,0.0000,0
resultado_amp_1_128_16_l,168593037,163436369,0.0000,0,0.0306,5156668,0.0306,5156652,0.0126,2122671,413322591,404245043,0.0000,0,0.0220,9077548,0.0220,9077532,0.0000,0
resultado_amp_1_128_16_r,168593037,161671841,0.0000,0,0.0411,6921196,0.0411,6921180,0.0173,2921134,413322591,404232741,0.0000,0,0.0220,9089850,0.0220,9089834,0.0000,0
resultado_amp_1_2048_1_f,168593037,61407093,0.0000,0,0.6358,107185944,0.6358,107185943,0.1275,21500995,413322591,403362588,0.0000,0,0.0241,9960003,0.0241,9960002,0.0000,0
resultado_amp_1_2048_1_l,168593037,61407093,0.0000,0,0.6358,107185944,0.6358,107185943,0.1275,21500995,413322591,403362588,0.0000,0,0.0241,9960003,0.0241,9960002,0.0000,0
resultado_amp_1_2048_1_r,168593037,61407093,0.0000,0,0.6358,107185944,0.6358,107185943,0.1275,21500995,413322591,403362588,0.0000,0,0.0241,9960003,0.0241,9960002,0.0000,0
resultado_amp_1_256_8_f,168593037,163217264,0.0000,0,0.0319,5375773,0.0319,5375765,0.0139,2337790,413322591,408442986,0.0000,0,0.0118,4879605,0.0118,4879597,0.0000,0
resultado_amp_1_256_8_l,168593037,163951159,0.0000,0,0.0275,4641878,0.0275,4641870,0.0108,1825536,413322591,408475636,0.0000,0,0.0117,4846955,0.0117,4846947,0.0000,0
resultado_amp_1_256_8_r,168593037,162333655,0.0000,0,0.0371,6259382,0.0371,6259374,0.0156,2636279,413322591,408415417,0.0000,0,0.0119,4907174,0.0119,4907166,0.0000,0
resultado_amp_1_32_64_f,168593037,156488855,0.0000,0,0.0718,12104182,0.0718,12104118,0.0263,4436484,413322591,378758714,0.0000,0,0.0836,34563877,0.0836,34563813,0.0000,0
resultado_amp_1_32_64_l,168593037,157259263,0.0000,0,0.0672,11333774,0.0672,11333710,0.0240,4048750,413322591,378717316,0.0000,0,0.0837,34605275,0.0837,34605211,0.0000,0
resultado_amp_1_32_64_r,168593037,155640874,0.0000,0,0.0768,12952163,0.0768,12952099,0.0274,4624373,413322591,379130803,0.0000,0,0.0827,34191788,0.0827,34191724,0.0000,0
resultado_amp_1_512_4_f,168593037,152350726,0.0000,0,0.0963,16242311,0.0963,16242307,0.0320,5400511,413322591,407364560,0.0000,0,0.0144,5958031,0.0144,5958027,0.0000,0
resultado_amp_1_512_4_l,168593037,153634677,0.0000,0,0.0887,14958360,0.0887,14958356,0.0260,4385611,413322591,407889486,0.0000,0,0.0131,5433105,0.0131,5433101,0.0000,0
resultado_amp_1_512_4_r,168593037,153486723,0.0000,0,0.0896,15106314,0.0896,15106310,0.0312,5256159,413322591,408066502,0.0000,0,0.0127,5256089,0.0127,5256085,0.0000,0
resultado_amp_1_64_32_f,168593037,159367815,0.0000,0,0.0547,9225222,0.0547,9225190,0.0201,3381947,413322591,395741993,0.0000,0,0.0425,17580598,0.0425,17580566,0.0000,0
resultado_amp_1_64_32_l,168593037,160331701,0.0000,0,0.0490,8261336,0.0490,8261304,0.0177,2988943,413322591,395734518,0.0000,0,0.0426,17588073,0.0426,17588041,0.0000,0
resultado_amp_1_64_32_r,168593037,158687395,0.0000,0,0.0588,9905642,0.0588,9905610,0.0216,3641328,413322591,395835987,0.0000,0,0.0423,17486604,0.0423,17486572,0.0000,0
resultado_amp_2_1024_1_f,168593037,95709604,0.0000,0,0.4323,72883433,0.4323,72883431,0.1026,17299520,413322591,408388492,0.0000,0,0.0119,4934099,0.0119,4934097,0.0000,0
resultado_amp_2_1024_1_l,168593037,95709604,0.0000,0,0.4323,72883433,0.4323,72883431,0.1026,17299520,413322591,408388492,0.0000,0,0.0119,4934099,0.0119,4934097,0.0000,0
resultado_amp_2_1024_1_r,168593037,95709604,0.0000,0,0.4323,72883433,0.4323,72883431,0.1026,17299520,413322591,408388492,0.0000,0,0.0119,4934099,0.0119,4934097,0.0000,0
resultado_amp_2_128_8_f,168593037,162745984,0.0000,0,0.0347,5847053,0.0347,5847037,0.0147,2481935,413322591,404251460,0.0000,0,0.0219,9071131,0.0219,9071115,0.0000,0
resultado_amp_2_128_8_l,168593037,163310264,0.0000,0,0.0313,5282773,0.0313,5282757,0.0128,2154536,413322591,404254298,0.0000,0,0.0219,9068293,0.0219,9068277,0.0000,0
resultado_amp_2_128_8_r,168593037,161702895,0.0000,0,0.0409,6890142,0.0409,6890126,0.0173,2908251,413322591,404259538,0.0000,0,0.0219,9063053,0.0219,9063037,0.0000,0
resultado_amp_2_256_4_f,168593037,161465903,0.0000,0,0.0423,7127134,0.0423,7127126,0.0187,3155388,413322591,408484441,0.0000,0,0.0117,4838150,0.0117,4838142,0.0000,0
resultado_amp_2_256_4_l,168593037,162692484,0.0000,0,0.0350,5900553,0.0350,5900545,0.0134,2253342,413322591,408493000,0.0000,0,0.0117,4829591,0.0117,4829583,0.0000,0
resultado_amp_2_256_4_r,168593037,160409235,0.0000,0,0.0485,8183802,0.0485,8183794,0.0199,3354397,413322591,408465141,0.0000,0,0.0118,4857450,0.0118,4857442,0.0000,0
resultado_amp_2_32_32_f,168593037,156354728,0.0000,0,0.0726,12238309,0.0726,12238245,0.0262,4421623,413322591,378743976,0.0000,0,0.0837,34578615,0.0837,34578551,0.0000,0
resultado_amp_2_32_32_l,168593037,157200152,0.0000,0,0.0676,11392885,0.0676,11392821,0.0240,4048768,413322591,378741951,0.0000,0,0.0837,34580640,0.0837,34580576,0.0000,0
resultado_amp_2_32_32_r,168593037,155560224,0.0000,0,0.0773,13032813,0.0773,13032749,0.0274,4615894,413322591,379151579,0.0000,0,0.0827,34171012,0.0827,34170948,0.0000,0
resultado_amp_2_512_2_f,168593037,146660981,0.0000,0,0.1301,21932056,0.1301,21932052,0.0387,6524405,413322591,407119125,0.0000,0,0.0150,6203466,0.0150,6203462,0.0000,0
resultado_amp_2_512_2_l,168593037,147862796,0.0000,0,0.1230,20730241,0.1230,20730237,0.0353,5954937,413322591,407724836,0.0000,0,0.0135,5597755,0.0135,5597751,0.0000,0
resultado_amp_2_512_2_r,168593037,148671545,0.0000,0,0.1182,19921492,0.1182,19921488,0.0361,6089941,413322591,407771939,0.0000,0,0.0134,5550652,0.0134,5550648,0.0000,0
resultado_amp_2_64_16_f,168593037,159502748,0.0000,0,0.0539,9090289,0.0539,9090257,0.0199,3362742,413322591,395738215,0.0000,0,0.0425,17584376,0.0425,17584344,0.0000,0
resultado_amp_2_64_16_l,168593037,160334673,0.0000,0,0.0490,8258364,0.0490,8258332,0.0177,2990133,413322591,395741705,0.0000,0,0.0425,17580886,0.0425,17580854,0.0000,0
resultado_amp_2_64_16_r,168593037,158753055,0.0000,0,0.0584,9839982,0.0584,9839950,0.0214,3615487,413322591,395862236,0.0000,0,0.0422,17460355,0.0422,17460323,0.0000,0
resultado_amp_32_32_2_f,168593037,155765420,0.0000,0,0.0761,12827617,0.0761,12827553,0.0273,4604889,413322591,378748877,0.0000,0,0.0836,34573714,0.0836,34573650,0.0000,0
