name,dl1.accesses,dl1.hits,dl1.inv_rate,dl1.invalidations,dl1.miss_rate,dl1.misses,dl1.repl_rate,dl1.replacements,dl1.wb_rate,dl1.writebacks,il1.accesses,il1.hits,il1.inv_rate,il1.invalidations,il1.miss_rate,il1.misses,il1.repl_rate,il1.replacements,il1.wb_rate,il1.writebacks
resultado_mm_16_128_1_f,1041223,855779,0.0000,0,0.1781,185444,0.1781,185428,0.0163,17018,7697007,7696691,0.0000,0,0.0000,316,0.0000,300,0.0000,0
resultado_mm_16_128_1_l,1041223,855779,0.0000,0,0.1781,185444,0.1781,185428,0.0163,17018,7697007,7696691,0.0000,0,0.0000,316,0.0000,300,0.0000,0
resultado_mm_16_128_1_r,1041223,855779,0.0000,0,0.1781,185444,0.1781,185428,0.0163,17018,7697007,7696691,0.0000,0,0.0000,316,0.0000,300,0.0000,0
resultado_mm_16_32_4_f,1041223,991029,0.0000,0,0.0482,50194,0.0481,50130,0.0027,2799,7697007,7696190,0.0000,0,0.0001,817,0.0001,753,0.0000,0
resultado_mm_16_32_4_l,1041223,995328,0.0000,0,0.0441,45895,0.0440,45831,0.0009,960,7697007,7696188,0.0000,0,0.0001,819,0.0001,755,0.0000,0
resultado_mm_16_32_4_r,1041223,984435,0.0000,0,0.0545,56788,0.0545,56724,0.0025,2582,7697007,7696220,0.0000,0,0.0001,787,0.0001,723,0.0000,0
resultado_mm_16_64_2_f,1041223,905295,0.0000,0,0.1305,135928,0.1305,135896,0.0047,4863,7697007,7696515,0.0000,0,0.0001,492,0.0001,460,0.0000,0
resultado_mm_16_64_2_l,1041223,918836,0.0000,0,0.1175,122387,0.1175,122355,0.0014,1494,7697007,7696517,0.0000,0,0.0001,490,0.0001,458,0.0000,0
resultado_mm_16_64_2_r,1041223,921264,0.0000,0,0.1152,119959,0.1152,119927,0.0045,4733,7697007,7696509,0.0000,0,0.0001,498,0.0001,466,0.0000,0
resultado_mm_1_1024_2_f,1041223,526679,0.0000,0,0.4942,514544,0.4942,514542,0.1345,140084,7697007,7696845,0.0000,0,0.0000,162,0.0000,160,0.0000,0
resultado_mm_1_1024_2_l,1041223,531693,0.0000,0,0.4894,509530,0.4894,509528,0.1297,135074,7697007,7696849,0.0000,0,0.0000,158,0.0000,156,0.0000,0
resultado_mm_1_1024_2_r,1041223,595179,0.0000,0,0.4284,446044,0.4284,446042,0.1149,119670,7697007,7696837,0.0000,0,0.0000,170,0.0000,168,0.0000,0
resultado_mm_1_128_16_f,1041223,885527,0.0000,0,0.1495,155696,0.1495,155680,0.0090,9378,7697007,7696693,0.0000,0,0.0000,314,0.0000,298,0.0000,0
resultado_mm_1_128_16_l,1041223,909785,0.0000,0,0.1262,131438,0.1262,131422,0.0002,245,7697007,7696693,0.0000,0,0.0000,314,0.0000,298,0.0000,0
resultado_mm_1_128_16_r,1041223,886144,0.0000,0,0.1489,155079,0.1489,155063,0.0089,9302,7697007,7696686,0.0000,0,0.0000,321,0.0000,305,0.0000,0
resultado_mm_1_2048_1_f,1041223,517828,0.0000,0,0.5027,523395,0.5027,523394,0.1370,142613,7697007,7441741,0.0000,0,0.0332,255266,0.0332,255265,0.0000,0
resultado_mm_1_2048_1_l,1041223,517828,0.0000,0,0.5027,523395,0.5027,523394,0.1370,142613,7697007,7441741,0.0000,0,0.0332,255266,0.0332,255265,0.0000,0
resultado_mm_1_2048_1_r,1041223,517828,0.0000,0,0.5027,523395,0.5027,523394,0.1370,142613,7697007,7441741,0.0000,0,0.0332,255266,0.0332,255265,0.0000,0
resultado_mm_1_256_8_f,1041223,891652,0.0000,0,0.1436,149571,0.1436,149563,0.0160,16673,7697007,7696786,0.0000,0,0.0000,221,0.0000,213,0.0000,0
resultado_mm_1_256_8_l,1041223,939298,0.0000,0,0.0979,101925,0.0979,101917,0.0001,127,7697007,7696789,0.0000,0,0.0000,218,0.0000,210,0.0000,0
resultado_mm_1_256_8_r,1041223,888375,0.0000,0,0.1468,152848,0.1468,152840,0.0161,16728,7697007,7696775,0.0000,0,0.0000,232,0.0000,224,0.0000,0
resultado_mm_1_32_64_f,1041223,1003153,0.0000,0,0.0366,38070,0.0365,38006,0.0013,1314,7697007,7696176,0.0000,0,0.0001,831,0.0001,767,0.0000,0
resultado_mm_1_32_64_l,1041223,1024228,0.0000,0,0.0163,16995,0.0163,16931,0.0009,960,7697007,7696177,0.0000,0,0.0001,830,0.0001,766,0.0000,0
resultado_mm_1_32_64_r,1041223,983657,0.0000,0,0.0553,57566,0.0552,57502,0.0018,1863,7697007,7696216,0.0000,0,0.0001,791,0.0001,727,0.0000,0
resultado_mm_1_512_4_f,1041223,914984,0.0000,0,0.1212,126239,0.1212,126235,0.0242,25164,7697007,7696832,0.0000,0,0.0000,175,0.0000,171,0.0000,0
resultado_mm_1_512_4_l,1041223,989300,0.0000,0,0.0499,51923,0.0499,51919,0.0001,84,7697007,7696834,0.0000,0,0.0000,173,0.0000,169,0.0000,0
resultado_mm_1_512_4_r,1041223,876197,0.0000,0,0.1585,165026,0.1585,165022,0.0309,32177,7697007,7696816,0.0000,0,0.0000,191,0.0000,187,0.0000,0
resultado_mm_1_64_32_f,1041223,892384,0.0000,0,0.1429,148839,0.1429,148807,0.0047,4881,7697007,7696504,0.0000,0,0.0001,503,0.0001,471,0.0000,0
resultado_mm_1_64_32_l,1041223,905766,0.0000,0,0.1301,135457,0.1301,135425,0.0005,484,7697007,7696505,0.0000,0,0.0001,502,0.0001,470,0.0000,0
resultado_mm_1_64_32_r,1041223,920175,0.0000,0,0.1163,121048,0.1162,121016,0.0040,4116,7697007,7696508,0.0000,0,0.0001,499,0.0001,467,0.0000,0
resultado_mm_2_1024_1_f,1041223,582678,0.0000,0,0.4404,458545,0.4404,458543,0.1184,123289,7697007,7696853,0.0000,0,0.0000,154,0.0000,152,0.0000,0
resultado_mm_2_1024_1_l,1041223,582678,0.0000,0,0.4404,458545,0.4404,458543,0.1184,123289,7697007,7696853,0.0000,0,0.0000,154,0.0000,152,0.0000,0
resultado_mm_2_1024_1_r,1041223,582678,0.0000,0,0.4404,458545,0.4404,458543,0.1184,123289,7697007,7696853,0.0000,0,0.0000,154,0.0000,152,0.0000,0
resultado_mm_2_128_8_f,1041223,885185,0.0000,0,0.1499,156038,0.1498,156022,0.0091,9461,7697007,7696694,0.0000,0,0.0000,313,0.0000,297,0.0000,0
