benchmark,nsets,bsize,assoc,repl,il1.miss_rate,dl1.writebacks,dl1.miss_rate
amp,16,128,1,f,0.027100,6225205.000000,0.110700
amp,16,128,1,l,0.027100,6225205.000000,0.110700
amp,16,128,1,r,0.027100,6225205.000000,0.110700
amp,16,32,4,f,0.083700,4434009.000000,0.072400
amp,16,32,4,l,0.083600,4069538.000000,0.068400
amp,16,32,4,r,0.082400,4620850.000000,0.077300
amp,16,64,2,f,0.042600,3675782.000000,0.059900
amp,16,64,2,l,0.042600,3414566.000000,0.054600
amp,16,64,2,r,0.042000,3829399.000000,0.062500
amp,1,1024,2,f,0.010200,13408203.000000,0.243300
amp,1,1024,2,l,0.010000,12969049.000000,0.240800
amp,1,1024,2,r,0.010600,12177345.000000,0.229300
amp,1,128,16,f,0.022000,2480819.000000,0.035000
amp,1,128,16,l,0.022000,2122671.000000,0.030600
amp,1,128,16,r,0.022000,2921126.000000,0.041100
amp,1,2048,1,f,0.024100,21500995.000000,0.635800
amp,1,2048,1,l,0.024100,21500995.000000,0.635800
amp,1,2048,1,r,0.024100,21500995.000000,0.635800
amp,1,256,8,f,0.011800,2337790.000000,0.031900
amp,1,256,8,l,0.011700,1825536.000000,0.027500
amp,1,256,8,r,0.011900,2636279.000000,0.037100
amp,1,32,64,f,0.083600,4436484.000000,0.071800
amp,1,32,64,l,0.083700,4048750.000000,0.067200
amp,1,32,64,r,0.082700,4623843.000000,0.076800
amp,1,512,4,f,0.014400,5400511.000000,0.096300
amp,1,512,4,l,0.013100,4385611.000000,0.088700
amp,1,512,4,r,0.012700,5256159.000000,0.089600
amp,1,64,32,f,0.042500,3381947.000000,0.054700
amp,1,64,32,l,0.042600,2988943.000000,0.049000
amp,1,64,32,r,0.042300,3641328.000000,0.058800
amp,2,1024,1,f,0.011900,17299520.000000,0.432300
amp,2,1024,1,l,0.011900,17299520.000000,0.432300
amp,2,1024,1,r,0.011900,17299520.000000,0.432300
amp,2,128,8,f,0.021900,2481935.000000,0.034700
amp,2,128,8,l,0.021900,2154536.000000,0.031300
amp,2,128,8,r,0.021900,2908167.000000,0.040900
amp,2,256,4,f,0.011700,3155388.000000,0.042300
amp,2,256,4,l,0.011700,2253342.000000,0.035000
amp,2,256,4,r,0.011800,3354397.000000,0.048500
amp,2,32,32,f,0.083700,4421623.000000,0.072600
amp,2,32,32,l,0.083700,4048768.000000,0.067600
amp,2,32,32,r,0.082700,4614897.000000,0.077300
amp,2,512,2,f,0.015000,6524405.000000,0.130100
amp,2,512,2,l,0.013500,5954937.000000,0.123000
amp,2,512,2,r,0.013400,6089941.000000,0.118200
amp,2,64,16,f,0.042500,3362742.000000,0.053900
amp,2,64,16,l,0.042500,2990133.000000,0.049000
amp,2,64,16,r,0.042200,3614125.000000,0.058400
amp,32,32,2,f,0.083600,4604889.000000,0.076100
amp,32,32,2,l,0.083700,4314521.000000,0.071800
amp,32,32,2,r,0.082400,4663855.000000,0.078300
amp,32,64,1,f,0.049400,5339428.000000,0.097400
amp,32,64,1,l,0.049400,5339428.000000,0.097400
